Category,Variable,Measure,Value,Group
Incident of NMSC in 2017,0,25-29,0.3,Male
Incident of NMSC in 2018,0.07,25-29,0.32,Male
Incident of NMSC in 2018,0-,25-29,25-29,Male
pop,173406,25-29,2135309,Male
case of NMSC in 2005,0,25-29,7.0465197,Male
pop,192243,25-29,2376828,Male
case of NMSC in 2006,0.9996636,25-29,9.0319464,Male
pop,214585,25-29,2457773,Male
case of NMSC in 2007,0,25-29,12.0430877,Male
pop,230304,25-29,2787889,Male
case of NMSC in 2008,0,25-29,10.0364004,Male
pop,327151,25-29,3687009,Male
case of NMSC in 2009,1.0141681,25-29,5.1618126,Male
pop,553502,25-29,5202735,Male
case of NMSC in 2010,0,25-29,16.1284785,Male
pop,684618,25-29,6017399,Male
case of NMSC in 2011,0,25-29,13.8400177,Male
pop,994252,25-29,8188498,Male
case of NMSC in 2012,1.988504,25-29,19.6523952,Male
pop,1120183,25-29,9218141,Male
case of NMSC in 2013,1.0081647,25-29,22.1235384,Male
pop,1492182,25-29,11962976,Male
case of NMSC in 2014,0,25-29,32.3000352,Male
pop,1603833,25-29,13463823,Male
case of NMSC in 2015,0.9622998,25-29,37.6987044,Male
pop,2027078,25-29,15434056,Male
case of NMSC in 2016,4.054156,25-29,46.302168,Male
pop,2465356,25-29,16839085,Male
case of NMSC in 2017,0,25-29,50.517255,Male
pop,2831943,25-29,19615180,Male
case of NMSC in 2018,1.9823601,25-29,62.768576,Male
Incident of NMSC in 2005,0,30-34,0.3,Male
Incident of NMSC in 2006,0.52,30-34,0.2,Male
Incident of NMSC in 2007,0,30-34,0.42,Male
Incident of NMSC in 2008,0,30-34,0.63,Male
Incident of NMSC in 2009,0.31,30-34,0.45,Male
Incident of NMSC in 2010,0,30-34,0.45,Male
Incident of NMSC in 2011,0,30-34,0.3,Male
Incident of NMSC in 2012,0.2,30-34,0.49,Male
Incident of NMSC in 2013,0.09,30-34,0.42,Male
Incident of NMSC in 2014,0,30-34,0.39,Male
Incident of NMSC in 2015,0.06,30-34,0.39,Male
Incident of NMSC in 2016,0.2,30-34,0.42,Male
Incident of NMSC in 2017,0,30-34,0.47,Male
Incident of NMSC in 2018,0.07,30-34,0.44,Male
Incident of NMSC in 2018,0-,30-34,30-34,Male
pop,173406,30-34,2297322,Male
case of NMSC in 2005,0,30-34,6.891966,Male
pop,192243,30-34,2464449,Male
case of NMSC in 2006,0.9996636,30-34,4.928898,Male
pop,214585,30-34,2363922,Male
case of NMSC in 2007,0,30-34,9.9284724,Male
pop,230304,30-34,2530927,Male
case of NMSC in 2008,0,30-34,15.9448401,Male
pop,327151,30-34,3350468,Male
case of NMSC in 2009,1.0141681,30-34,15.077106,Male
pop,553502,30-34,4864799,Male
case of NMSC in 2010,0,30-34,21.8915955,Male
pop,684618,30-34,5711938,Male
case of NMSC in 2011,0,30-34,17.135814,Male
pop,994252,30-34,7792141,Male
case of NMSC in 2012,1.988504,30-34,38.1814909,Male
pop,1120183,30-34,8709451,Male
case of NMSC in 2013,1.0081647,30-34,36.5796942,Male
pop,1492182,30-34,10979497,Male
case of NMSC in 2014,0,30-34,42.8200383,Male
pop,1603833,30-34,12246457,Male
case of NMSC in 2015,0.9622998,30-34,47.7611823,Male
pop,2027078,30-34,14042473,Male
case of NMSC in 2016,4.054156,30-34,58.9783866,Male
pop,2465356,30-34,16005637,Male
case of NMSC in 2017,0,30-34,75.2264939,Male
pop,2831943,30-34,19464756,Male
case of NMSC in 2018,1.9823601,30-34,85.6449264,Male
Incident of NMSC in 2005,0,35-39,0.63,Male
Incident of NMSC in 2006,0.52,35-39,0.79,Male
Incident of NMSC in 2007,0,35-39,0.53,Male
Incident of NMSC in 2008,0,35-39,0.9,Male
Incident of NMSC in 2009,0.31,35-39,0.46,Male
Incident of NMSC in 2010,0,35-39,0.52,Male
Incident of NMSC in 2011,0,35-39,0.64,Male
Incident of NMSC in 2012,0.2,35-39,0.46,Male
Incident of NMSC in 2013,0.09,35-39,0.61,Male
Incident of NMSC in 2014,0,35-39,0.57,Male
Incident of NMSC in 2015,0.06,35-39,0.62,Male
Incident of NMSC in 2016,0.2,35-39,0.48,Male
Incident of NMSC in 2017,0,35-39,0.51,Male
Incident of NMSC in 2018,0.07,35-39,0.59,Male
Incident of NMSC in 2018,0-,35-39,35-39,Male
pop,173406,35-39,2399803,Male
case of NMSC in 2005,0,35-39,15.1187589,Male
pop,192243,35-39,2669541,Male
case of NMSC in 2006,0.9996636,35-39,21.0893739,Male
pop,214585,35-39,2665650,Male
case of NMSC in 2007,0,35-39,14.127945,Male
pop,230304,35-39,2886770,Male
case of NMSC in 2008,0,35-39,25.98093,Male
pop,327151,35-39,3687707,Male
case of NMSC in 2009,1.0141681,35-39,16.9634522,Male
pop,553502,35-39,5382560,Male
case of NMSC in 2010,0,35-39,27.989312,Male
pop,684618,35-39,6111802,Male
case of NMSC in 2011,0,35-39,39.1155328,Male
pop,994252,35-39,8013956,Male
case of NMSC in 2012,1.988504,35-39,36.8641976,Male
pop,1120183,35-39,8914855,Male
case of NMSC in 2013,1.0081647,35-39,54.3806155,Male
pop,1492182,35-39,11195114,Male
case of NMSC in 2014,0,35-39,63.8121498,Male
pop,1603833,35-39,12103610,Male
case of NMSC in 2015,0.9622998,35-39,75.042382,Male
pop,2027078,35-39,14671949,Male
case of NMSC in 2016,4.054156,35-39,70.4253552,Male
pop,2465356,35-39,16837620,Male
case of NMSC in 2017,0,35-39,85.871862,Male
pop,2831943,35-39,20154570,Male
case of NMSC in 2018,1.9823601,35-39,118.911963,Male
Incident of NMSC in 2005,0,40-44,1.25,Male
Incident of NMSC in 2006,0.52,40-44,1.42,Male
Incident of NMSC in 2007,0,40-44,1.21,Male
Incident of NMSC in 2008,0,40-44,1.05,Male
Incident of NMSC in 2009,0.31,40-44,0.61,Male
Incident of NMSC in 2010,0,40-44,0.97,Male
Incident of NMSC in 2011,0,40-44,0.92,Male
Incident of NMSC in 2012,0.2,40-44,0.78,Male
Incident of NMSC in 2013,0.09,40-44,1.03,Male
Incident of NMSC in 2014,0,40-44,0.77,Male
Incident of NMSC in 2015,0.06,40-44,1.05,Male
Incident of NMSC in 2016,0.2,40-44,0.87,Male
Incident of NMSC in 2017,0,40-44,0.86,Male
Incident of NMSC in 2018,0.07,40-44,0.91,Male
Incident of NMSC in 2018,0-,40-44,40-44,Male
pop,173406,40-44,2563943,Male
case of NMSC in 2005,0,40-44,32.0492875,Male
pop,192243,40-44,2807802,Male
case of NMSC in 2006,0.9996636,40-44,39.8707884,Male
pop,214585,40-44,2737200,Male
case of NMSC in 2007,0,40-44,33.12012,Male
pop,230304,40-44,2863495,Male
case of NMSC in 2008,0,40-44,30.0666975,Male
pop,327151,40-44,3635160,Male
case of NMSC in 2009,1.0141681,40-44,22.174476,Male
pop,553502,40-44,5466769,Male
case of NMSC in 2010,0,40-44,53.0276593,Male
pop,684618,40-44,6410317,Male
case of NMSC in 2011,0,40-44,58.9749164,Male
pop,994252,40-44,8963360,Male
case of NMSC in 2012,1.988504,40-44,69.914208,Male
pop,1120183,40-44,10196645,Male
case of NMSC in 2013,1.0081647,40-44,105.0254435,Male
pop,1492182,40-44,12704250,Male
case of NMSC in 2014,0,40-44,97.822725,Male
pop,1603833,40-44,13662267,Male
case of NMSC in 2015,0.9622998,40-44,143.4538035,Male
pop,2027078,40-44,15943173,Male
case of NMSC in 2016,4.054156,40-44,138.7056051,Male
pop,2465356,40-44,17691143,Male
case of NMSC in 2017,0,40-44,152.1438298,Male
pop,2831943,40-44,20862589,Male
case of NMSC in 2018,1.9823601,40-44,189.8495599,Male
Incident of NMSC in 2005,0,45-49,1.54,Male
Incident of NMSC in 2006,0.52,45-49,1.43,Male
Incident of NMSC in 2007,0,45-49,1.76,Male
Incident of NMSC in 2008,0,45-49,1.45,Male
Incident of NMSC in 2009,0.31,45-49,1.28,Male
Incident of NMSC in 2010,0,45-49,1.41,Male
Incident of NMSC in 2011,0,45-49,1.28,Male
Incident of NMSC in 2012,0.2,45-49,1.59,Male
Incident of NMSC in 2013,0.09,45-49,1.35,Male
Incident of NMSC in 2014,0,45-49,1.31,Male
Incident of NMSC in 2015,0.06,45-49,1.37,Male
Incident of NMSC in 2016,0.2,45-49,1.29,Male
Incident of NMSC in 2017,0,45-49,1.35,Male
Incident of NMSC in 2018,0.07,45-49,1.38,Male
Incident of NMSC in 2018,0-,45-49,45-49,Male
pop,173406,45-49,2461207,Male
case of NMSC in 2005,0,45-49,37.9025878,Male
pop,192243,45-49,2594751,Male
case of NMSC in 2006,0.9996636,45-49,37.1049393,Male
pop,214585,45-49,2506456,Male
case of NMSC in 2007,0,45-49,44.1136256,Male
pop,230304,45-49,2897277,Male
case of NMSC in 2008,0,45-49,42.0105165,Male
pop,327151,45-49,3744392,Male
case of NMSC in 2009,1.0141681,45-49,47.9282176,Male
pop,553502,45-49,5444970,Male
case of NMSC in 2010,0,45-49,76.774077,Male
pop,684618,45-49,6400357,Male
case of NMSC in 2011,0,45-49,81.9245696,Male
pop,994252,45-49,8642568,Male
case of NMSC in 2012,1.988504,45-49,137.4168312,Male
pop,1120183,45-49,9886294,Male
case of NMSC in 2013,1.0081647,45-49,133.464969,Male
pop,1492182,45-49,12564439,Male
case of NMSC in 2014,0,45-49,164.5941509,Male
pop,1603833,45-49,14203282,Male
case of NMSC in 2015,0.9622998,45-49,194.5849634,Male
pop,2027078,45-49,17236389,Male
case of NMSC in 2016,4.054156,45-49,222.3494181,Male
pop,2465356,45-49,19764144,Male
case of NMSC in 2017,0,45-49,266.815944,Male
pop,2831943,45-49,23439973,Male
case of NMSC in 2018,1.9823601,45-49,323.4716274,Male
Incident of NMSC in 2005,0,50-54,2.28,Male
Incident of NMSC in 2006,0.52,50-54,2.59,Male
Incident of NMSC in 2007,0,50-54,2.57,Male
