Category,Variable,Measure,Value,Group
Incident of NMSC in 2011,0,20-24,0.21,National
Incident of NMSC in 2012,0.21,20-24,0.19,National
Incident of NMSC in 2013,0.05,20-24,0.14,National
Incident of NMSC in 2014,0,20-24,0.18,National
Incident of NMSC in 2015,0.03,20-24,0.15,National
Incident of NMSC in 2016,0.21,20-24,0.15,National
Incident of NMSC in 2017,0.06,20-24,0.21,National
Incident of NMSC in 2018,0.09,20-24,0.17,National
Incident of NMSC in 2018,0-,20-24,20-24,National
pop,328711,20-24,4736635,National
case of NMSC in 2005,0,20-24,5.2102985,National
pop,366806,20-24,4986761,National
case of NMSC in 2006,0.9903762,20-24,4.986761,National
pop,406298,20-24,5241847,National
case of NMSC in 2007,0,20-24,8.9111399,National
pop,435222,20-24,5632792,National
case of NMSC in 2008,1.0010106,20-24,11.265584,National
pop,620042,20-24,7355399,National
case of NMSC in 2009,0.9920672,20-24,5.8843192,National
pop,1039937,20-24,10402751,National
case of NMSC in 2010,0,20-24,17.6846767,National
pop,1296974,20-24,11875975,National
case of NMSC in 2011,0,20-24,24.9395475,National
pop,1876699,20-24,16424691,National
case of NMSC in 2012,3.9410679,20-24,31.2069129,National
pop,2111613,20-24,17987676,National
case of NMSC in 2013,1.0558065,20-24,25.1827464,National
pop,2814044,20-24,22270337,National
case of NMSC in 2014,0,20-24,40.0866066,National
pop,3019983,20-24,23172769,National
case of NMSC in 2015,0.9059949,20-24,34.7591535,National
pop,3815719,20-24,26580417,National
case of NMSC in 2016,8.0130099,20-24,39.8706255,National
pop,4653648,20-24,29014896,National
case of NMSC in 2017,2.7921888,20-24,60.9312816,National
pop,5351889,20-24,34515110,National
case of NMSC in 2018,4.8167001,20-24,58.675687,National
Incident of NMSC in 2005,0,25-29,0.29,National
Incident of NMSC in 2006,0.27,25-29,0.32,National
Incident of NMSC in 2007,0,25-29,0.35,National
Incident of NMSC in 2008,0.23,25-29,0.27,National
Incident of NMSC in 2009,0.16,25-29,0.3,National
Incident of NMSC in 2010,0,25-29,0.24,National
Incident of NMSC in 2011,0,25-29,0.21,National
Incident of NMSC in 2012,0.21,25-29,0.28,National
Incident of NMSC in 2013,0.05,25-29,0.22,National
Incident of NMSC in 2014,0,25-29,0.23,National
Incident of NMSC in 2015,0.03,25-29,0.32,National
Incident of NMSC in 2016,0.21,25-29,0.32,National
Incident of NMSC in 2017,0.06,25-29,0.28,National
Incident of NMSC in 2018,0.09,25-29,0.3,National
Incident of NMSC in 2018,0-,25-29,25-29,National
pop,328711,25-29,4186010,National
case of NMSC in 2005,0,25-29,12.139429,National
pop,366806,25-29,4689395,National
case of NMSC in 2006,0.9903762,25-29,15.006064,National
pop,406298,25-29,4818883,National
case of NMSC in 2007,0,25-29,16.8660905,National
pop,435222,25-29,5472349,National
case of NMSC in 2008,1.0010106,25-29,14.7753423,National
pop,620042,25-29,7240893,National
