Category,Variable,Measure,Value,Group
pop,2253504,20-24,13439991,Urban
case of NMSC in 2017,0.9014016,20-24,30.9119793,Urban
pop,2408681,20-24,14658239,Urban
case of NMSC in 2018,1.9269448,20-24,23.4531824,Urban
Incident of NMSC in 2005,0,25-29,0.33,Urban
Incident of NMSC in 2006,0,25-29,0.36,Urban
Incident of NMSC in 2007,0,25-29,0.42,Urban
Incident of NMSC in 2008,0.31,25-29,0.34,Urban
Incident of NMSC in 2009,0.26,25-29,0.42,Urban
Incident of NMSC in 2010,0,25-29,0.23,Urban
Incident of NMSC in 2011,0,25-29,0.211,Urban
Incident of NMSC in 2012,0.24,25-29,0.28,Urban
Incident of NMSC in 2013,0.11,25-29,0.27,Urban
Incident of NMSC in 2014,0,25-29,0.24,Urban
Incident of NMSC in 2015,0,25-29,0.37,Urban
Incident of NMSC in 2016,0.22,25-29,0.31,Urban
Incident of NMSC in 2017,0.04,25-29,0.28,Urban
Incident of NMSC in 2018,0.08,25-29,0.31,Urban
Incident of NMSC in 2018,0-,25-29,25-29,Urban
pop,196647,25-29,3016827,Urban
case of NMSC in 2005,0,25-29,9.9555291,Urban
pop,246212,25-29,3640345,Urban
case of NMSC in 2006,0,25-29,13.105242,Urban
pop,256582,25-29,3561238,Urban
case of NMSC in 2007,0,25-29,14.9571996,Urban
pop,320424,25-29,4390705,Urban
case of NMSC in 2008,0.9933144,25-29,14.928397,Urban
pop,384131,25-29,5014122,Urban
case of NMSC in 2009,0.9987406,25-29,21.0593124,Urban
pop,595402,25-29,6983769,Urban
case of NMSC in 2010,0,25-29,16.0626687,Urban
pop,688959,25-29,7481728,Urban
case of NMSC in 2011,0,25-29,15.78644608,Urban
pop,841767,25-29,8670884,Urban
case of NMSC in 2012,2.0202408,25-29,24.2784752,Urban
pop,923346,25-29,9364450,Urban
case of NMSC in 2013,1.0156806,25-29,25.284015,Urban
pop,1275248,25-29,12064510,Urban
case of NMSC in 2014,0,25-29,28.954824,Urban
pop,1352817,25-29,12843924,Urban
case of NMSC in 2015,0,25-29,47.5225188,Urban
pop,1851490,25-29,15365949,Urban
case of NMSC in 2016,4.073278,25-29,47.6344419,Urban
pop,2253504,25-29,16221263,Urban
case of NMSC in 2017,0.9014016,25-29,45.4195364,Urban
pop,2408681,25-29,17177709,Urban
case of NMSC in 2018,1.9269448,25-29,53.2508979,Urban
Incident of NMSC in 2005,0,30-34,0.37,Urban
Incident of NMSC in 2006,0,30-34,0.16,Urban
Incident of NMSC in 2007,0,30-34,0.48,Urban
Incident of NMSC in 2008,0.31,30-34,0.68,Urban
Incident of NMSC in 2009,0.26,30-34,0.4,Urban
Incident of NMSC in 2010,0,30-34,0.46,Urban
Incident of NMSC in 2011,0,30-34,0.3,Urban
Incident of NMSC in 2012,0.24,30-34,0.49,Urban
Incident of NMSC in 2013,0.11,30-34,0.44,Urban
Incident of NMSC in 2014,0,30-34,0.39,Urban
Incident of NMSC in 2015,0,30-34,0.46,Urban
Incident of NMSC in 2016,0.22,30-34,0.45,Urban
Incident of NMSC in 2017,0.04,30-34,0.52,Urban
Incident of NMSC in 2018,0.08,30-34,0.5,Urban
Incident of NMSC in 2018,0-,30-34,30-34,Urban
pop,196647,30-34,3250134,Urban
case of NMSC in 2005,0,30-34,12.0254958,Urban
pop,246212,30-34,3712692,Urban
case of NMSC in 2006,0,30-34,5.9403072,Urban
pop,256582,30-34,3302827,Urban
case of NMSC in 2007,0,30-34,15.8535696,Urban
pop,320424,30-34,3807575,Urban
case of NMSC in 2008,0.9933144,30-34,25.89151,Urban
pop,384131,30-34,4284268,Urban
case of NMSC in 2009,0.9987406,30-34,17.137072,Urban
pop,595402,30-34,6239770,Urban
case of NMSC in 2010,0,30-34,28.702942,Urban
pop,688959,30-34,6978345,Urban
case of NMSC in 2011,0,30-34,20.935035,Urban
pop,841767,30-34,8227366,Urban
case of NMSC in 2012,2.0202408,30-34,40.3140934,Urban
pop,923346,30-34,9071652,Urban
case of NMSC in 2013,1.0156806,30-34,39.9152688,Urban
pop,1275248,30-34,11670562,Urban
case of NMSC in 2014,0,30-34,45.5151918,Urban
pop,1352817,30-34,12617080,Urban
case of NMSC in 2015,0,30-34,58.038568,Urban
pop,1851490,30-34,15194692,Urban
case of NMSC in 2016,4.073278,30-34,68.376114,Urban
pop,2253504,30-34,16663399,Urban
case of NMSC in 2017,0.9014016,30-34,86.6496748,Urban
pop,2408681,30-34,18467999,Urban
case of NMSC in 2018,1.9269448,30-34,92.339995,Urban
Incident of NMSC in 2005,0,35-39,0.82,Urban
Incident of NMSC in 2006,0,35-39,0.72,Urban
Incident of NMSC in 2007,0,35-39,0.6,Urban
Incident of NMSC in 2008,0.31,35-39,0.74,Urban
Incident of NMSC in 2009,0.26,35-39,0.45,Urban
Incident of NMSC in 2010,0,35-39,0.6,Urban
Incident of NMSC in 2011,0,35-39,0.76,Urban
Incident of NMSC in 2012,0.24,35-39,0.65,Urban
Incident of NMSC in 2013,0.11,35-39,0.62,Urban
Incident of NMSC in 2014,0,35-39,0.6,Urban
Incident of NMSC in 2015,0,35-39,0.72,Urban
Incident of NMSC in 2016,0.22,35-39,0.59,Urban
Incident of NMSC in 2017,0.04,35-39,0.62,Urban
Incident of NMSC in 2018,0.08,35-39,0.64,Urban
Incident of NMSC in 2018,0-,35-39,35-39,Urban
pop,196647,35-39,3419743,Urban
case of NMSC in 2005,0,35-39,28.0418926,Urban
pop,246212,35-39,4144736,Urban
case of NMSC in 2006,0,35-39,29.8420992,Urban
pop,256582,35-39,3984412,Urban
case of NMSC in 2007,0,35-39,23.906472,Urban
pop,320424,35-39,4471333,Urban
case of NMSC in 2008,0.9933144,35-39,33.0878642,Urban
pop,384131,35-39,4879194,Urban
case of NMSC in 2009,0.9987406,35-39,21.956373,Urban
pop,595402,35-39,6843382,Urban
case of NMSC in 2010,0,35-39,41.060292,Urban
pop,688959,35-39,7275155,Urban
case of NMSC in 2011,0,35-39,55.291178,Urban
pop,841767,35-39,8033476,Urban
case of NMSC in 2012,2.0202408,35-39,52.217594,Urban
pop,923346,35-39,8690950,Urban
case of NMSC in 2013,1.0156806,35-39,53.88389,Urban
pop,1275248,35-39,11256245,Urban
case of NMSC in 2014,0,35-39,67.53747,Urban
pop,1352817,35-39,11997918,Urban
case of NMSC in 2015,0,35-39,86.3850096,Urban
pop,1851490,35-39,15331675,Urban
case of NMSC in 2016,4.073278,35-39,90.4568825,Urban
pop,2253504,35-39,17135841,Urban
case of NMSC in 2017,0.9014016,35-39,106.2422142,Urban
pop,2408681,35-39,19162520,Urban
case of NMSC in 2018,1.9269448,35-39,122.640128,Urban
Incident of NMSC in 2005,0,40-44,1.23,Urban
Incident of NMSC in 2006,0,40-44,1.35,Urban
Incident of NMSC in 2007,0,40-44,1.1,Urban
Incident of NMSC in 2008,0.31,40-44,0.96,Urban
Incident of NMSC in 2009,0.26,40-44,0.77,Urban
Incident of NMSC in 2010,0,40-44,0.93,Urban
Incident of NMSC in 2011,0,40-44,0.82,Urban
Incident of NMSC in 2012,0.24,40-44,0.93,Urban
Incident of NMSC in 2013,0.11,40-44,1.02,Urban
Incident of NMSC in 2014,0,40-44,0.97,Urban
Incident of NMSC in 2015,0,40-44,1.05,Urban
Incident of NMSC in 2016,0.22,40-44,0.88,Urban
Incident of NMSC in 2017,0.04,40-44,0.96,Urban
Incident of NMSC in 2018,0.08,40-44,0.8,Urban
Incident of NMSC in 2018,0-,40-44,40-44,Urban
pop,196647,40-44,3907878,Urban
case of NMSC in 2005,0,40-44,48.0668994,Urban
pop,246212,40-44,4445006,Urban
case of NMSC in 2006,0,40-44,60.007581,Urban
pop,256582,40-44,4168116,Urban
case of NMSC in 2007,0,40-44,45.849276,Urban
pop,320424,40-44,4458786,Urban
case of NMSC in 2008,0.9933144,40-44,42.8043456,Urban
pop,384131,40-44,4805714,Urban
case of NMSC in 2009,0.9987406,40-44,37.0039978,Urban
pop,595402,40-44,6788656,Urban
